"dhw","sst","wave","npp","gravity","coral","algae","turf","S","C","Cc","nCc","Bc","nBc","N","Qn","L","G","V","bAut","det","fish","mInv","sInv","zooP","carbon_flow","Realm","sum_benthos"
-1.06353489232925,29.07647541,0.35187561102737,-0.398130103743878,1.40335474192904,0.08,1e-05,0.53,0.321252223775307,0.584689458527029,-0.382889247862718,0.142225133638497,0.267524679043355,-0.549977972698174,-0.0950492779317434,-1.16881926933185,0.628085140562308,0.521077771261013,0.68583469207255,0.114439199088393,0.0340224645938467,0.134136415432199,0.524825004069673,0.0791144391990884,0.1134624776168,0,"Western Indo-Pacific",0.61
-1.06353489232925,29.07483607,0.35187561102737,-0.398130103743878,1.41585864732549,0.06,1e-05,0.64,1.47097269822514,0.179411190632015,-1.33103578987817,0.0241006700142243,1.44166044156253,-0.954247372268875,-0.262477470268494,-1.19840277774317,1.5084149219059,0.481262596728768,1.61244714048748,0.183834048640916,0.0550786838340486,0.11783066718689,0.477825464949929,0.0966965795291976,0.0687345558590194,1.58069784866993,"Western Indo-Pacific",0.7
-1.06353489232925,29.07483607,0.35187561102737,-0.398130103743878,1.49922787326339,0.18,1e-05,0.17,0.792759549094383,-1.04208898072731,-0.906274821096487,-0.465283395571325,0.95009836881902,-0.698379574263469,-0.576166267457306,-0.0235530275138439,0.637877421941777,-0.90597811603696,0.69615874883766,0.413608433395344,0.112802300016912,0.0662946051073905,0.210440272845143,0.111167484074638,0.0856869045605727,0,"Western Indo-Pacific",0.35
-1.06353489232925,29.08136612,0.370902750196909,-0.398130103743878,1.74884834425511,0.06,1e-05,0.03,1.50579918139277,-0.652388420918613,-1.39670561859176,-0.238560345756237,1.57908412936435,-0.937072923084645,0.102331081275033,-0.914071173903689,1.31721912169684,-0.112723096521199,1.33975698545002,0.30919054535851,0.0661560808134161,0.0705136669747788,0.352304238742902,0.0963950878119635,0.105440380298429,-1.18552338650245,"Western Indo-Pacific",0.09
-1.06353489232925,29.07543716,0.35187561102737,-0.398130103743878,1.36367143204303,0.3,1e-05,0.14,1.43587306338032,-0.0192400722954955,-1.27843957885002,0.197827415824287,1.32862895412681,-0.965519191569476,0.205918855503537,-0.475813979421324,1.43101292925296,0.497516617226635,1.45565383451455,0.279279279279279,0.0864710864710865,0.0575960575960576,0.362208362208362,0.120736120736121,0.0937090937090937,-0.395174462167482,"Western Indo-Pacific",0.44
-1.06353489232925,29.07568306,0.35187561102737,-0.398130103743878,1.38451405524503,0.5,1e-05,0.25,1.43587306338032,0.0718675871385499,-1.2726570960636,0.233819989335672,1.31179823483539,-0.96982932732269,0.030663075877527,-0.798050670960879,1.45413566618898,0.569370764558785,1.4845255228395,0.215464380078768,0.0675008724263423,0.0751782242384964,0.444438905229573,0.10025424996261,0.0971633680642106,0,"Western Indo-Pacific",0.75
-1.06353489232925,29.10196721,0.370902750196909,-0.398130103743878,1.57398144101594,0.23,1e-05,0.12,1.47097269822514,-0.0144382141747025,-1.28856748287173,0.290791036732528,1.31765399807844,-0.98649765541257,0.291274924819157,-0.905292886456317,1.46025048719006,0.50143066702462,1.49025684863188,0.275314579353054,0.0768825350813624,0.0527043942288688,0.416232953422492,0.103761776138086,0.0751037617761381,2.37104677300489,"Western Indo-Pacific",0.35
-1.06353489232925,29.09478142,0.370902750196909,-0.398130103743878,1.92479614355405,0.42,1e-05,0.25,0.913175257751557,0.102974290854642,-0.848330298675336,0.383821157741982,0.734094359373605,-0.814793450821693,0.434686308635543,-0.496833605605981,1.01424350311855,0.593092931286269,0.969523794421928,0.412346139500187,0.10928757926147,0.0195822454308094,0.253263707571802,0.12159641924655,0.0839239089891831,2.37104677300489,"Western Indo-Pacific",0.67
-1.06353489232925,29.07647541,0.35187561102737,-0.398130103743878,1.40335474192904,0.08,1e-05,0.16,1.06884940618626,0.31034595753598,-0.961182112990146,0.448989045318843,0.85320902975192,-0.882610512823726,0.103857603440224,-0.797045750485972,1.20612887234181,0.754456999979148,1.19682890402472,0.332943583747442,0.114586378251973,0.0495469161064016,0.291581408944753,0.132709733995908,0.0786319789535224,0,"Western Indo-Pacific",0.24
-1.06353489232925,29.07551913,0.35187561102737,-0.402687807600555,1.36367143204303,0.15,1e-05,0.22,1.40049595818779,-0.178122424407366,-1.24504084092462,0.247500292693266,1.25765601635242,-0.965070412065354,0.0121569827372722,-0.715646721552698,1.36136893983816,0.369500022714076,1.37073033021263,0.23840597758406,0.0884184308841843,0.0495641344956413,0.416139476961395,0.111382316313823,0.0960896637608966,0,"Western Indo-Pacific",0.37
-1.06353489232925,29.06437158,0.470937940043575,-0.309913551628603,1.33349119419045,0.06,1e-05,0.34,2.18075883674033,0.260418286701793,-1.75796762517486,0.265440569149215,2.04286000898267,-1.12649231336802,-0.0890546169105097,-1.18814933790202,2.04614521946921,0.630525112385197,2.22383513884342,0.207427413909521,0.0518568534773802,0.219547602970966,0.359689399054693,0.0941255908170155,0.0673531397704254,1.58069784866993,"Western Indo-Pacific",0.4
-1.06353489232925,29.07551913,0.35187561102737,-0.402687807600555,1.33349119419045,0.06,1e-05,0.19,1.47097269822514,-0.723547636723685,-1.35834311621238,-0.147971086948325,1.49943928705492,-0.939779077532639,0.0719726021116666,-0.437626966561803,1.27022661525105,-0.0889311631237681,1.25279787337768,0.305609284332689,0.0498196455643264,0.0525903079094568,0.367504835589942,0.125551082997891,0.0989248436056947,-0.395174462167482,"Western Indo-Pacific",0.25
