"species","size_rls","size_fishflux"
"Abalistes_stellatus",20,20
"Abalistes_stellatus",25,25
"Abudefduf_abdominalis",12,12
"Abudefduf_abdominalis",15,15
"Abudefduf_bengalensis",2,NA
"Abudefduf_bengalensis",5,5
"Abudefduf_bengalensis",8,8
"Abudefduf_bengalensis",10,10
"Abudefduf_bengalensis",12,12
"Abudefduf_bengalensis",15,15
"Abudefduf_bengalensis",20,NA
"Abudefduf_bengalensis",25,NA
"Abudefduf_concolor",12,12
"Abudefduf_concolor",15,15
"Abudefduf_conformis",12,12
"Abudefduf_conformis",15,NA
"Abudefduf_notatus",5,5
"Abudefduf_notatus",10,10
"Abudefduf_notatus",12,12
"Abudefduf_saxatilis",2,NA
"Abudefduf_saxatilis",5,5
"Abudefduf_saxatilis",8,8
"Abudefduf_saxatilis",10,10
"Abudefduf_saxatilis",12,12
"Abudefduf_saxatilis",15,15
"Abudefduf_saxatilis",20,20
"Abudefduf_septemfasciatus",12,12
"Abudefduf_septemfasciatus",15,15
"Abudefduf_sexfasciatus",2,NA
"Abudefduf_sexfasciatus",5,5
"Abudefduf_sexfasciatus",8,8
"Abudefduf_sexfasciatus",10,10
"Abudefduf_sexfasciatus",12,12
"Abudefduf_sexfasciatus",15,15
"Abudefduf_sexfasciatus",20,NA
"Abudefduf_sordidus",12,12
"Abudefduf_troschelii",5,5
"Abudefduf_troschelii",8,8
"Abudefduf_troschelii",10,10
"Abudefduf_troschelii",12,12
"Abudefduf_troschelii",15,15
"Abudefduf_troschelii",20,NA
"Abudefduf_vaigiensis",2,NA
"Abudefduf_vaigiensis",5,5
"Abudefduf_vaigiensis",8,8
"Abudefduf_vaigiensis",10,10
"Abudefduf_vaigiensis",12,12
"Abudefduf_vaigiensis",15,15
"Abudefduf_vaigiensis",20,NA
"Abudefduf_whitleyi",5,5
"Abudefduf_whitleyi",8,8
"Abudefduf_whitleyi",10,10
"Abudefduf_whitleyi",12,12
"Acanthemblemaria_hancocki",2,NA
"Acanthemblemaria_spinosa",2,NA
"Acanthochromis_polyacanthus",2,2
"Acanthochromis_polyacanthus",5,5
"Acanthochromis_polyacanthus",8,8
"Acanthochromis_polyacanthus",10,10
"Acanthochromis_polyacanthus",12,12
"Acanthochromis_polyacanthus",15,NA
"Acanthopagrus_australis",12,12
"Acanthopagrus_latus",30,NA
"Acanthopagrus_latus",35,NA
"Acanthostracion_polygonius",10,NA
"Acanthostracion_polygonius",12,NA
"Acanthostracion_polygonius",15,NA
"Acanthostracion_polygonius",20,NA
"Acanthostracion_polygonius",25,NA
"Acanthostracion_quadricornis",20,20
"Acanthuridae_spp.",2,NA
"Acanthuridae_spp.",5,NA
"Acanthuridae_spp.",8,NA
"Acanthuridae_spp.",10,NA
"Acanthuridae_spp.",12,NA
"Acanthuridae_spp.",15,NA
"Acanthuridae_spp.",20,NA
"Acanthuridae_spp.",25,NA
"Acanthuridae_spp.",30,NA
"Acanthuridae_spp.",35,NA
"Acanthurus_achilles",12,12
"Acanthurus_achilles",15,15
"Acanthurus_achilles",20,20
"Acanthurus_achilles",25,NA
"Acanthurus_albipectoralis",15,15
"Acanthurus_albipectoralis",20,20
"Acanthurus_albipectoralis",25,25
"Acanthurus_albipectoralis",30,30
"Acanthurus_albipectoralis",35,NA
"Acanthurus_auranticavus",25,25
"Acanthurus_auranticavus",30,30
"Acanthurus_auranticavus",35,35
"Acanthurus_auranticavus",40,40
"Acanthurus_bahianus",2,NA
"Acanthurus_bahianus",5,5
"Acanthurus_bahianus",8,8
"Acanthurus_bahianus",10,10
"Acanthurus_bahianus",12,12
"Acanthurus_bahianus",15,15
"Acanthurus_bahianus",20,20
"Acanthurus_bahianus",25,25
"Acanthurus_bahianus",30,30
"Acanthurus_bariene",25,25
"Acanthurus_blochii",2,NA
"Acanthurus_blochii",5,5
"Acanthurus_blochii",8,8
"Acanthurus_blochii",10,10
"Acanthurus_blochii",12,12
"Acanthurus_blochii",15,15
"Acanthurus_blochii",20,20
"Acanthurus_blochii",25,25
"Acanthurus_blochii",30,30
"Acanthurus_blochii",35,35
"Acanthurus_blochii",40,40
"Acanthurus_chirurgus",8,8
"Acanthurus_chirurgus",10,10
"Acanthurus_chirurgus",12,12
"Acanthurus_chirurgus",15,15
"Acanthurus_chirurgus",20,20
"Acanthurus_chirurgus",25,25
"Acanthurus_chirurgus",30,30
"Acanthurus_coeruleus",2,NA
"Acanthurus_coeruleus",5,5
"Acanthurus_coeruleus",8,8
"Acanthurus_coeruleus",10,10
"Acanthurus_coeruleus",12,12
"Acanthurus_coeruleus",15,15
"Acanthurus_coeruleus",20,20
"Acanthurus_coeruleus",25,25
"Acanthurus_coeruleus",30,30
"Acanthurus_coeruleus",40,NA
"Acanthurus_dussumieri",8,8
"Acanthurus_dussumieri",12,12
"Acanthurus_dussumieri",15,15
"Acanthurus_dussumieri",20,20
"Acanthurus_dussumieri",25,25
"Acanthurus_dussumieri",30,30
"Acanthurus_dussumieri",35,35
"Acanthurus_dussumieri",40,40
"Acanthurus_fowleri",25,25
"Acanthurus_fowleri",30,30
"Acanthurus_fowleri",35,35
"Acanthurus_grammoptilus",5,5
"Acanthurus_grammoptilus",8,8
"Acanthurus_grammoptilus",10,10
"Acanthurus_grammoptilus",12,12
"Acanthurus_grammoptilus",15,15
"Acanthurus_grammoptilus",20,20
"Acanthurus_grammoptilus",25,25
"Acanthurus_grammoptilus",30,30
"Acanthurus_grammoptilus",35,NA
"Acanthurus_grammoptilus",40,NA
"Acanthurus_grammoptilus_(cf)",20,NA
"Acanthurus_guttatus",12,12
"Acanthurus_guttatus",15,15
"Acanthurus_guttatus",20,20
"Acanthurus_guttatus",25,25
"Acanthurus_leucocheilus",12,12
"Acanthurus_leucocheilus",15,15
"Acanthurus_leucocheilus",20,20
"Acanthurus_leucocheilus",25,25
"Acanthurus_leucocheilus",30,30
"Acanthurus_leucopareius",20,20
"Acanthurus_leucopareius",25,NA
"Acanthurus_leucopareius",35,NA
"Acanthurus_leucopareius",40,NA
"Acanthurus_leucosternon",5,5
"Acanthurus_leucosternon",8,8
"Acanthurus_leucosternon",10,10
"Acanthurus_leucosternon",12,12
"Acanthurus_leucosternon",15,15
"Acanthurus_leucosternon",20,20
"Acanthurus_leucosternon",25,NA
"Acanthurus_lineatus",8,8
"Acanthurus_lineatus",10,10
"Acanthurus_lineatus",12,12
"Acanthurus_lineatus",15,15
"Acanthurus_lineatus",20,20
"Acanthurus_lineatus",25,25
"Acanthurus_lineatus",30,30
"Acanthurus_maculiceps",15,15
"Acanthurus_maculiceps",20,20
"Acanthurus_maculiceps",25,25
"Acanthurus_maculiceps",30,30
"Acanthurus_mata",15,15
"Acanthurus_mata",20,20
"Acanthurus_mata",25,25
"Acanthurus_mata",30,30
"Acanthurus_mata",35,35
"Acanthurus_mata",40,40
"Acanthurus_mata",50,NA
"Acanthurus_nigricans",5,5
"Acanthurus_nigricans",8,8
"Acanthurus_nigricans",10,10
"Acanthurus_nigricans",12,12
"Acanthurus_nigricans",15,15
"Acanthurus_nigricans",20,20
"Acanthurus_nigricans",25,NA
"Acanthurus_nigricans",30,NA
"Acanthurus_nigricauda",5,5
"Acanthurus_nigricauda",8,8
"Acanthurus_nigricauda",10,10
"Acanthurus_nigricauda",12,12
"Acanthurus_nigricauda",15,15
"Acanthurus_nigricauda",20,20
"Acanthurus_nigricauda",25,25
"Acanthurus_nigricauda",30,30
"Acanthurus_nigricauda",35,35
"Acanthurus_nigrofuscus",2,NA
"Acanthurus_nigrofuscus",5,5
"Acanthurus_nigrofuscus",8,8
"Acanthurus_nigrofuscus",10,10
"Acanthurus_nigrofuscus",12,12
"Acanthurus_nigrofuscus",15,15
"Acanthurus_nigrofuscus",20,20
"Acanthurus_nigrofuscus",25,NA
"Acanthurus_nigroris",5,5
"Acanthurus_nigroris",8,8
"Acanthurus_nigroris",10,10
"Acanthurus_nigroris",12,12
"Acanthurus_nigroris",15,15
"Acanthurus_nigroris",20,20
"Acanthurus_nigroris",25,NA
"Acanthurus_nubilus",12,12
"Acanthurus_nubilus",15,15
"Acanthurus_olivaceus",0,NA
"Acanthurus_olivaceus",2,NA
"Acanthurus_olivaceus",5,5
"Acanthurus_olivaceus",8,8
"Acanthurus_olivaceus",10,10
"Acanthurus_olivaceus",12,12
"Acanthurus_olivaceus",15,15
"Acanthurus_olivaceus",20,20
"Acanthurus_olivaceus",25,25
"Acanthurus_olivaceus",30,30
"Acanthurus_pyroferus",5,5
"Acanthurus_pyroferus",8,8
"Acanthurus_pyroferus",10,10
"Acanthurus_pyroferus",12,12
"Acanthurus_pyroferus",15,15
"Acanthurus_pyroferus",20,20
"Acanthurus_pyroferus",25,NA
"Acanthurus_pyroferus",30,NA
"Acanthurus_reversus",12,12
"Acanthurus_reversus",15,15
"Acanthurus_reversus",20,20
"Acanthurus_reversus",25,NA
"Acanthurus_spp.",20,NA
"Acanthurus_spp.",25,NA
"Acanthurus_spp.",30,NA
"Acanthurus_thompsoni",8,8
"Acanthurus_thompsoni",10,10
"Acanthurus_thompsoni",12,12
"Acanthurus_thompsoni",15,15
"Acanthurus_thompsoni",20,20
"Acanthurus_thompsoni",25,25
"Acanthurus_thompsoni",30,NA
"Acanthurus_thompsoni",35,NA
"Acanthurus_tractus",5,NA
"Acanthurus_tractus",8,NA
"Acanthurus_tractus",10,NA
"Acanthurus_tractus",12,NA
"Acanthurus_tractus",15,NA
"Acanthurus_triostegus",2,NA
"Acanthurus_triostegus",5,5
"Acanthurus_triostegus",8,8
"Acanthurus_triostegus",10,10
"Acanthurus_triostegus",12,12
"Acanthurus_triostegus",15,15
"Acanthurus_triostegus",20,20
"Acanthurus_triostegus",25,25
"Acanthurus_tristis",5,5
"Acanthurus_tristis",8,8
"Acanthurus_tristis",10,10
"Acanthurus_tristis",12,12
"Acanthurus_tristis",15,15
"Acanthurus_tristis",20,20
"Acanthurus_xanthopterus",8,8
"Acanthurus_xanthopterus",10,10
"Acanthurus_xanthopterus",12,12
"Acanthurus_xanthopterus",15,15
"Acanthurus_xanthopterus",20,20
"Acanthurus_xanthopterus",25,25
"Acanthurus_xanthopterus",30,30
"Acanthurus_xanthopterus",35,35
"Acanthurus_xanthopterus",40,40
"Acanthurus_xanthopterus",50,50
"Acanthurus_xanthopterus",62,62
"Acanthurus_xanthopterus",75,NA
"Actinopterygii_spp.",2,NA
"Actinopterygii_spp.",5,NA
"Actinopterygii_spp.",8,NA
"Aeoliscus_strigatus",8,NA
"Aeoliscus_strigatus",10,NA
"Aethaloperca_rogaa",10,10
"Aethaloperca_rogaa",15,15
"Aethaloperca_rogaa",20,20
"Aethaloperca_rogaa",25,25
"Aethaloperca_rogaa",30,30
"Aethaloperca_rogaa",35,35
"Aethaloperca_rogaa",40,40
"Aetobatus_ocellatus",88,NA
"Aetobatus_ocellatus",100,NA
"Aetobatus_ocellatus",150,NA
"Aetobatus_ocellatus",162,NA
"Aetobatus_ocellatus",188,NA
"Aetobatus_ocellatus",200,NA
"Aetobatus_ocellatus",250,NA
"Aioliops_novaeguineae",2,NA
"Aipysurus_laevis",40,NA
"Aipysurus_laevis",50,NA
"Aipysurus_laevis",62,NA
"Aipysurus_laevis",75,NA
"Aipysurus_laevis",88,NA
"Aipysurus_laevis",100,NA
"Aipysurus_laevis",112,NA
"Aipysurus_laevis",125,NA
"Alphestes_immaculatus",5,5
"Alphestes_immaculatus",8,8
"Alphestes_immaculatus",10,10
"Alphestes_immaculatus",12,12
"Alphestes_immaculatus",15,15
"Alphestes_immaculatus",20,20
"Alphestes_immaculatus",25,25
"Alphestes_immaculatus",30,NA
"Aluterus_scriptus",20,20
"Aluterus_scriptus",25,25
"Aluterus_scriptus",30,30
"Aluterus_scriptus",35,35
"Aluterus_scriptus",40,40
"Aluterus_scriptus",50,50
"Amanses_scopas",8,8
"Amanses_scopas",10,10
"Amanses_scopas",12,12
"Amanses_scopas",15,15
"Amanses_scopas",20,NA
"Amanses_scopas",25,NA
"Amanses_spp.",15,NA
"Amblycirrhitus_bimacula",10,NA
"Amblycirrhitus_pinos",2,2
"Amblyeleotris_fasciata",5,NA
"Amblyeleotris_fasciata",8,NA
"Amblyeleotris_fasciata",10,NA
"Amblyeleotris_guttata",2,NA
"Amblyeleotris_guttata",5,NA
"Amblyeleotris_guttata",8,NA
"Amblyeleotris_guttata",10,NA
"Amblyeleotris_gymnocephala",2,NA
"Amblyeleotris_gymnocephala",5,NA
"Amblyeleotris_gymnocephala",8,NA
"Amblyeleotris_katherine",5,NA
"Amblyeleotris_periophthalma",2,NA
"Amblyeleotris_periophthalma",5,NA
"Amblyeleotris_spp.",2,NA
"Amblyeleotris_spp.",5,NA
"Amblyeleotris_spp.",8,NA
"Amblyeleotris_spp.",10,NA
"Amblyeleotris_steinitzi",2,NA
"Amblyeleotris_steinitzi",5,NA
"Amblyeleotris_steinitzi",8,NA
"Amblyeleotris_steinitzi",10,NA
"Amblyeleotris_steinitzi",12,NA
"Amblyeleotris_wheeleri",5,NA
"Amblyeleotris_wheeleri",8,NA
"Amblyeleotris_wheeleri",40,NA
"Amblyglyphidodon_aureus",2,2
"Amblyglyphidodon_aureus",5,5
"Amblyglyphidodon_aureus",8,8
"Amblyglyphidodon_aureus",10,10
"Amblyglyphidodon_aureus",12,12
"Amblyglyphidodon_aureus",15,NA
"Amblyglyphidodon_batunai",5,NA
"Amblyglyphidodon_batunai",8,NA
"Amblyglyphidodon_batunai",10,NA
"Amblyglyphidodon_batunai",12,NA
"Amblyglyphidodon_curacao",2,2
"Amblyglyphidodon_curacao",5,5
"Amblyglyphidodon_curacao",8,8
"Amblyglyphidodon_curacao",10,10
"Amblyglyphidodon_curacao",12,NA
"Amblyglyphidodon_indicus",2,2
"Amblyglyphidodon_indicus",5,5
"Amblyglyphidodon_leucogaster",2,2
"Amblyglyphidodon_leucogaster",5,5
"Amblyglyphidodon_leucogaster",8,8
"Amblyglyphidodon_leucogaster",10,10
"Amblyglyphidodon_leucogaster",12,12
"Amblyglyphidodon_leucogaster",15,NA
"Amblyglyphidodon_leucogaster",25,NA
"Amblyglyphidodon_leucogaster",35,NA
"Amblyglyphidodon_melanopterus",5,5
"Amblyglyphidodon_melanopterus",8,8
"Amblyglyphidodon_melanopterus",10,10
"Amblyglyphidodon_orbicularis",5,5
"Amblyglyphidodon_orbicularis",8,8
"Amblyglyphidodon_spp.",5,NA
"Amblyglyphidodon_spp.",8,NA
"Amblyglyphidodon_spp.",10,NA
"Amblyglyphidodon_spp.",12,NA
"Amblyglyphidodon_ternatensis",2,2
"Amblyglyphidodon_ternatensis",5,5
"Amblyglyphidodon_ternatensis",8,8
"Amblyglyphidodon_ternatensis",10,NA
"Amblygobius_buanensis",2,NA
"Amblygobius_buanensis",5,NA
"Amblygobius_buanensis",8,NA
"Amblygobius_bynoensis",2,NA
"Amblygobius_bynoensis",5,NA
"Amblygobius_bynoensis",8,NA
"Amblygobius_bynoensis",10,NA
"Amblygobius_bynoensis",12,NA
"Amblygobius_decussatus",2,NA
"Amblygobius_decussatus",5,NA
"Amblygobius_decussatus",8,NA
"Amblygobius_decussatus",10,NA
"Amblygobius_nocturnus",2,NA
"Amblygobius_nocturnus",5,NA
"Amblygobius_nocturnus",8,NA
"Amblygobius_phalaena",2,NA
"Amblygobius_phalaena",5,NA
"Amblygobius_phalaena",8,NA
"Amblygobius_phalaena",10,NA
"Amblygobius_phalaena",12,NA
"Amblygobius_spp.",2,NA
"Amblygobius_spp.",5,NA
"Amblygobius_spp.",10,NA
"Amphichthys_cryptocentrus",15,NA
"Amphiprion_akallopisos",2,2
"Amphiprion_akallopisos",5,5
"Amphiprion_akallopisos",8,8
"Amphiprion_akindynos",2,2
"Amphiprion_akindynos",5,5
"Amphiprion_akindynos",8,8
"Amphiprion_akindynos",10,NA
"Amphiprion_akindynos",12,NA
"Amphiprion_chrysopterus",2,NA
"Amphiprion_chrysopterus",5,5
"Amphiprion_chrysopterus",8,8
"Amphiprion_chrysopterus",10,10
"Amphiprion_chrysopterus",12,12
"Amphiprion_clarkii",2,2
"Amphiprion_clarkii",5,5
"Amphiprion_clarkii",8,8
"Amphiprion_clarkii",10,10
"Amphiprion_clarkii",12,12
"Amphiprion_clarkii",15,NA
"Amphiprion_ephippium",2,2
"Amphiprion_ephippium",5,5
"Amphiprion_ephippium",8,8
"Amphiprion_frenatus",2,2
"Amphiprion_frenatus",5,5
"Amphiprion_melanopus",2,2
"Amphiprion_melanopus",5,5
"Amphiprion_melanopus",8,8
"Amphiprion_ocellaris",2,2
"Amphiprion_ocellaris",5,5
"Amphiprion_ocellaris",8,8
"Amphiprion_ocellaris",10,10
"Amphiprion_percula",2,2
"Amphiprion_percula",5,5
"Amphiprion_percula",8,8
"Amphiprion_perideraion",2,2
"Amphiprion_perideraion",5,5
"Amphiprion_perideraion",8,8
"Amphiprion_perideraion",10,NA
"Amphiprion_rubrocinctus",2,2
"Amphiprion_rubrocinctus",5,5
"Amphiprion_rubrocinctus",8,8
"Amphiprion_rubrocinctus",12,NA
"Amphiprion_sandaracinos",2,2
"Amphiprion_sandaracinos",5,5
"Amphiprion_sandaracinos",8,8
"Anampses_caeruleopunctatus",2,NA
"Anampses_caeruleopunctatus",5,5
"Anampses_caeruleopunctatus",8,8
"Anampses_caeruleopunctatus",10,10
"Anampses_caeruleopunctatus",12,12
"Anampses_caeruleopunctatus",15,15
"Anampses_caeruleopunctatus",20,20
"Anampses_caeruleopunctatus",25,25
"Anampses_caeruleopunctatus",30,30
"Anampses_femininus",5,5
"Anampses_geographicus",8,8
"Anampses_geographicus",10,10
"Anampses_geographicus",12,12
"Anampses_geographicus",15,15
"Anampses_geographicus",20,20
"Anampses_geographicus",25,25
"Anampses_lennardi",2,NA
"Anampses_lennardi",5,5
"Anampses_lennardi",8,8
"Anampses_lennardi",12,12
"Anampses_lennardi",15,15
"Anampses_lennardi",20,20
"Anampses_lennardi",25,25
"Anampses_lennardi",35,NA
"Anampses_melanurus",8,8
"Anampses_melanurus",10,10
"Anampses_melanurus",12,NA
"Anampses_melanurus",15,NA
"Anampses_meleagrides",2,NA
"Anampses_meleagrides",5,5
"Anampses_meleagrides",8,8
"Anampses_meleagrides",10,10
"Anampses_meleagrides",12,12
"Anampses_meleagrides",15,15
"Anampses_neoguinaicus",2,NA
"Anampses_neoguinaicus",5,5
"Anampses_neoguinaicus",8,8
"Anampses_neoguinaicus",10,10
"Anampses_neoguinaicus",12,12
"Anampses_neoguinaicus",15,15
"Anampses_spp.",2,NA
"Anampses_spp.",10,NA
"Anampses_spp.",20,NA
"Anampses_twistii",2,NA
"Anampses_twistii",5,5
"Anampses_twistii",8,8
"Anampses_twistii",10,10
"Anampses_twistii",12,12
"Anampses_twistii",15,15
"Anisotremus_caesius",8,8
"Anisotremus_caesius",10,10
"Anisotremus_caesius",12,12
"Anisotremus_caesius",15,15
"Anisotremus_caesius",20,20
"Anisotremus_caesius",25,25
"Anisotremus_caesius",30,NA
"Anisotremus_interruptus",10,10
"Anisotremus_interruptus",12,12
"Anisotremus_interruptus",15,15
"Anisotremus_interruptus",20,20
"Anisotremus_interruptus",25,25
"Anisotremus_interruptus",30,30
"Anisotremus_interruptus",35,35
"Anisotremus_interruptus",40,40
"Anisotremus_scapularis",20,20
"Anisotremus_scapularis",25,25
"Anisotremus_scapularis",30,30
"Anisotremus_scapularis",35,35
"Anisotremus_taeniatus",8,8
"Anisotremus_taeniatus",10,10
"Anisotremus_taeniatus",12,12
"Anisotremus_taeniatus",15,15
"Anisotremus_taeniatus",20,20
"Anisotremus_taeniatus",25,25
"Anisotremus_taeniatus",30,30
"Anisotremus_taeniatus",35,NA
"Anisotremus_virginicus",5,5
"Anisotremus_virginicus",8,8
"Anisotremus_virginicus",10,10
"Anisotremus_virginicus",12,12
"Anisotremus_virginicus",15,15
"Anisotremus_virginicus",20,20
"Anisotremus_virginicus",25,25
"Anisotremus_virginicus",30,30
"Anisotremus_virginicus",35,35
"Anyperodon_leucogrammicus",5,5
"Anyperodon_leucogrammicus",12,12
"Anyperodon_leucogrammicus",15,15
"Anyperodon_leucogrammicus",20,20
"Anyperodon_leucogrammicus",25,25
"Anyperodon_leucogrammicus",30,30
"Anyperodon_leucogrammicus",35,35
"Anyperodon_leucogrammicus",40,40
"Anyperodon_leucogrammicus",50,50
"Aphareus_furca",10,10
"Aphareus_furca",15,15
"Aphareus_furca",20,20
"Aphareus_furca",25,25
"Aphareus_furca",30,30
"Aphareus_furca",35,35
"Aphareus_furca",40,40
"Aphareus_furca",75,NA
"Apogon_atradorsatus",2,NA
"Apogon_atradorsatus",5,NA
"Apogon_atradorsatus",8,NA
"Apogon_atradorsatus",10,NA
"Apogon_atradorsatus",12,NA
"Apogon_binotatus",8,NA
"Apogon_chrysotaenia",8,NA
"Apogon_chrysotaenia",10,NA
"Apogon_chrysotaenia",12,NA
"Apogon_doederleini",2,NA
"Apogon_doederleini",5,NA
"Apogon_doederleini",8,NA
"Apogon_doederleini",10,NA
"Apogon_dovii",2,NA
"Apogon_dovii",5,NA
"Apogon_dovii",8,NA
"Apogon_dovii",10,NA
"Apogon_dovii",12,NA
"Apogon_lachneri",5,NA
"Apogon_multilineatus",5,NA
"Apogon_multilineatus",8,NA
"Apogon_multilineatus",12,NA
"Apogon_pacificus",2,NA
"Apogon_pacificus",5,NA
"Apogon_pacificus",8,NA
"Apogon_retrosella",5,NA
"Apogon_spp.",2,NA
"Apogon_spp.",5,NA
"Apogonidae_spp.",2,NA
"Apogonidae_spp.",5,NA
"Apogonidae_spp.",8,NA
"Apogonidae_spp.",12,NA
"Apolemichthys_trimaculatus",8,8
"Apolemichthys_trimaculatus",10,10
"Apolemichthys_trimaculatus",12,12
"Apolemichthys_trimaculatus",15,15
"Apolemichthys_trimaculatus",20,20
"Aprion_virescens",35,35
"Aprion_virescens",40,40
"Aprion_virescens",50,50
"Aprion_virescens",62,62
"Aprion_virescens",75,75
"Aprion_virescens",88,88
"Arothron_hispidus",8,8
"Arothron_hispidus",10,10
"Arothron_hispidus",12,12
"Arothron_hispidus",15,15
"Arothron_hispidus",20,20
"Arothron_hispidus",25,25
"Arothron_hispidus",30,30
"Arothron_hispidus",35,35
"Arothron_manilensis",20,20
"Arothron_manilensis",25,25
"Arothron_manilensis",30,30
"Arothron_manilensis",35,NA
"Arothron_mappa",35,35
"Arothron_mappa",40,40
"Arothron_mappa",50,50
"Arothron_meleagris",5,5
"Arothron_meleagris",8,8
"Arothron_meleagris",10,10
"Arothron_meleagris",12,12
"Arothron_meleagris",15,15
"Arothron_meleagris",20,20
"Arothron_meleagris",25,25
"Arothron_meleagris",30,30
"Arothron_meleagris",35,35
"Arothron_nigropunctatus",10,10
"Arothron_nigropunctatus",12,12
"Arothron_nigropunctatus",15,15
"Arothron_nigropunctatus",20,20
"Arothron_nigropunctatus",25,25
"Arothron_nigropunctatus",30,30
"Arothron_spp.",25,NA
"Arothron_stellatus",20,20
"Arothron_stellatus",30,30
"Arothron_stellatus",40,40
"Arothron_stellatus",50,50
"Arothron_stellatus",62,62
"Aspidontus_dussumieri",8,NA
"Aspidontus_dussumieri",10,NA
"Aspidontus_dussumieri",12,NA
"Aspidontus_taeniatus",2,NA
"Aspidontus_taeniatus",5,NA
"Aspidontus_taeniatus",8,NA
"Aspidontus_taeniatus",10,NA
"Assessor_flavissimus",2,NA
"Assessor_flavissimus",5,NA
"Assessor_macneilli",2,NA
"Assessor_macneilli",5,NA
"Assessor_macneilli",8,NA
"Asterropteryx_atripes",2,NA
"Asterropteryx_atripes",5,NA
"Asterropteryx_semipunctata",2,NA
"Asterropteryx_semipunctata",5,NA
"Asterropteryx_striata",2,NA
"Asterropteryx_striata",5,NA
"Atherinidae_spp.",5,NA
"Atherinidae_spp.",8,NA
"Atherinomorus_spp.",2,NA
"Atrosalarias_holomelas",2,NA
"Atrosalarias_holomelas",5,NA
"Atrosalarias_holomelas",8,NA
"Atrosalarias_holomelas",10,NA
"Atrosalarias_holomelas",12,NA
"Aulostomus_chinensis",8,NA
"Aulostomus_chinensis",10,NA
"Aulostomus_chinensis",12,NA
"Aulostomus_chinensis",15,NA
"Aulostomus_chinensis",20,NA
"Aulostomus_chinensis",25,NA
"Aulostomus_chinensis",30,NA
"Aulostomus_chinensis",35,NA
"Aulostomus_chinensis",40,NA
"Aulostomus_chinensis",50,NA
"Aulostomus_chinensis",62,NA
"Aulostomus_chinensis",75,NA
"Aulostomus_chinensis",88,NA
"Aulostomus_maculatus",12,NA
"Aulostomus_maculatus",15,NA
"Aulostomus_maculatus",20,NA
"Aulostomus_maculatus",25,NA
"Aulostomus_maculatus",30,NA
"Aulostomus_maculatus",35,NA
"Aulostomus_maculatus",40,NA
"Aulostomus_maculatus",62,NA
"Aulostomus_maculatus",88,NA
"Aulostomus_maculatus",112,NA
"Axoclinus_lucillae",2,NA
"Balistapus_undulatus",5,5
"Balistapus_undulatus",8,8
"Balistapus_undulatus",10,10
"Balistapus_undulatus",12,12
"Balistapus_undulatus",15,15
"Balistapus_undulatus",20,20
"Balistapus_undulatus",25,25
"Balistapus_undulatus",30,NA
"Balistes_polylepis",10,10
"Balistes_polylepis",12,12
"Balistes_polylepis",15,15
"Balistes_polylepis",20,20
"Balistes_polylepis",25,25
"Balistes_polylepis",30,30
"Balistes_polylepis",35,35
"Balistes_polylepis",40,40
"Balistes_polylepis",50,50
"Balistes_polylepis",62,62
"Balistes_vetula",12,12
"Balistes_vetula",15,15
"Balistes_vetula",30,30
"Balistes_vetula",35,35
"Balistes_vetula",62,NA
"Balistidae_spp.",30,NA
"Balistoides_conspicillum",15,15
"Balistoides_conspicillum",20,20
"Balistoides_conspicillum",25,25
"Balistoides_conspicillum",30,30
"Balistoides_conspicillum",35,35
"Balistoides_conspicillum",40,40
"Balistoides_viridescens",25,25
"Balistoides_viridescens",30,30
"Balistoides_viridescens",35,35
"Balistoides_viridescens",40,40
"Balistoides_viridescens",62,62
"Belonidae_spp.",50,NA
"Belonoperca_chabanaudi",5,5
"Belonoperca_chabanaudi",8,8
"Blenniella_chrysospilos",2,NA
"Blenniidae_spp.",5,NA
"Blenniidae_spp.",8,NA
"Blenniidae_spp.",10,NA
"Bodianus_axillaris",2,NA
"Bodianus_axillaris",5,5
"Bodianus_axillaris",8,8
"Bodianus_axillaris",10,10
"Bodianus_axillaris",12,12
"Bodianus_axillaris",15,15
"Bodianus_axillaris",20,NA
"Bodianus_axillaris",25,NA
"Bodianus_axillaris",30,NA
"Bodianus_axillaris",35,NA
"Bodianus_bilunulatus",25,25
"Bodianus_bilunulatus",30,30
"Bodianus_bilunulatus",35,35
"Bodianus_diana",5,5
"Bodianus_diana",8,8
"Bodianus_diana",10,10
"Bodianus_diana",12,12
"Bodianus_diana",15,15
"Bodianus_diana",20,20
"Bodianus_dictynna",2,NA
"Bodianus_dictynna",5,5
"Bodianus_dictynna",8,8
"Bodianus_dictynna",10,10
"Bodianus_dictynna",12,12
"Bodianus_dictynna",15,15
"Bodianus_dictynna",20,20
"Bodianus_dictynna",25,NA
"Bodianus_diplotaenia",2,NA
"Bodianus_diplotaenia",5,5
"Bodianus_diplotaenia",8,8
"Bodianus_diplotaenia",10,10
"Bodianus_diplotaenia",12,12
"Bodianus_diplotaenia",15,15
"Bodianus_diplotaenia",20,20
"Bodianus_diplotaenia",25,25
"Bodianus_diplotaenia",30,30
"Bodianus_diplotaenia",35,35
"Bodianus_diplotaenia",40,40
"Bodianus_diplotaenia",62,62
"Bodianus_eclancheri",2,NA
"Bodianus_eclancheri",5,5
"Bodianus_eclancheri",8,8
"Bodianus_eclancheri",15,NA
"Bodianus_eclancheri",20,20
"Bodianus_eclancheri",25,25
"Bodianus_eclancheri",30,30
"Bodianus_eclancheri",35,35
