"SiteCode","SurveyID","dup"
"ETP192",912342180,FALSE
"ETP195",507003587,FALSE
"ETP197",593003389,FALSE
"ETP198",593003390,FALSE
"ETP2",507003170,FALSE
"ETP200",507003610,FALSE
"ETP203",593003485,FALSE
"ETP206",507003615,FALSE
"ETP207",593003397,FALSE
"ETP208",593003398,FALSE
"ETP209",593003399,FALSE
"ETP21",506002969,FALSE
"ETP210",593003400,FALSE
"ETP211",507003616,FALSE
"ETP212",507003607,FALSE
"ETP22",506002970,FALSE
"ETP223",507003595,FALSE
"ETP224",593003377,FALSE
"ETP225",593003378,FALSE
"ETP226",593003412,FALSE
"ETP227",593003413,FALSE
"ETP228",593003414,FALSE
"ETP23",506002971,FALSE
"ETP230",593003416,FALSE
"ETP231",593003417,FALSE
"ETP232",593003426,FALSE
"ETP234",506003351,FALSE
"ETP236",593003427,FALSE
"ETP237",593003428,FALSE
"ETP239",507003556,FALSE
"ETP24",506002972,FALSE
"ETP240",506003335,FALSE
"ETP242",507003574,FALSE
"ETP243",593003468,FALSE
"ETP244",593003469,FALSE
"ETP245",593003470,FALSE
"ETP246",593003471,FALSE
"ETP247",593003464,FALSE
"ETP248",593003465,FALSE
"ETP27",506002976,FALSE
"ETP28",506002977,FALSE
"ETP3",507003171,FALSE
"ETP30",506002979,FALSE
"ETP31",506002980,FALSE
"ETP32",506002981,FALSE
"ETP33",506002982,FALSE
"ETP34",506002983,FALSE
"ETP35",506002984,FALSE
"ETP36",506002985,FALSE
"ETP38",506002987,FALSE
"ETP40",506002989,FALSE
"ETP42",506002991,FALSE
"ETP43",506003835,FALSE
"ETP44",506002993,FALSE
"ETP45",506002994,FALSE
"ETP46",506002995,FALSE
"ETP47",506002996,FALSE
"ETP49",506002998,FALSE
"ETP5",507003172,FALSE
"ETP50",506002999,FALSE
"ETP52",506003000,FALSE
"ETP55",506003003,FALSE
"ETP56",506003004,FALSE
"ETP63",507003187,FALSE
"ETP65",507003189,FALSE
"ETP66",507003190,FALSE
"ETP67",507003191,FALSE
"ETP68",507003192,FALSE
"ETP69",507003193,FALSE
"ETP70",507003194,FALSE
"ETP71",507003195,FALSE
"ETP72",507003196,FALSE
"ETP73",507003197,FALSE
"ETP74",507003198,FALSE
"ETP75",507003199,FALSE
"ETP76",507003200,FALSE
"ETP77",507003201,FALSE
"ETP78",507003202,FALSE
"ETP79",507003203,FALSE
"ETP80",507003204,FALSE
"ETP81",507003205,FALSE
"ETP82",507003206,FALSE
"ETP83",507003207,FALSE
"ETP84",507003208,FALSE
"ETP85",507003209,FALSE
"ETP86",507003210,FALSE
"ETP87",507003211,FALSE
"ETP88",507003212,FALSE
"ETP89",507003213,FALSE
"ETP90",507003214,FALSE
"ETP91",507003215,FALSE
"ETP92",507003216,FALSE
"ETP93",507003217,FALSE
"ETP94",507003218,FALSE
"ETP95",507003219,FALSE
"ETP96",507003220,FALSE
"ETP98",507003222,FALSE
"ETP99",507003223,FALSE
"FP1",689003047,FALSE
"FP2",689003048,FALSE
"FP48",912342139,FALSE
"FP52",912342144,FALSE
"FP54",912342147,FALSE
"GBR26",912345401,FALSE
"GBR27",912345402,FALSE
"GBR41",912345458,FALSE
"GBR46",912345490,FALSE
"GBR47",912345492,FALSE
"GBR48",912345521,FALSE
"GBR49",912345522,FALSE
"GBR53",912347390,FALSE
"GBR54",912347392,FALSE
"GBR55",912347394,FALSE
"GBR62",912347408,FALSE
"GBR63",912347410,FALSE
"GBR64",912347412,FALSE
"GBR65",912347414,FALSE
"GBR71",912347426,FALSE
"GBR72",912347428,FALSE
"GBR80",912347497,FALSE
"GBR81",912347553,FALSE
"GBR82",912347499,FALSE
"GBR83",912347501,FALSE
"GBR85",912347503,FALSE
"GBR88",912347506,FALSE
"GBR90",912347508,FALSE
"GBR91",912347510,FALSE
"GBR92",912347511,FALSE
"GBR93",912347519,FALSE
"GBR95",912347524,FALSE
"HAWAII1",912341817,FALSE
"HAWAII3",912341820,FALSE
"MI2",689003034,FALSE
"MI7",689003039,FALSE
"NIC11",912342212,FALSE
"NIC13",912342219,FALSE
"NIC14",912342221,FALSE
"NIC7",912342210,FALSE
"NIUE4",683003150,FALSE
"NMP-BF1",912340598,FALSE
"NMP-BF2",912340606,FALSE
"NMP-BF3",912340609,FALSE
"NMP-BF4",912340601,FALSE
"NMP-S1",912340579,FALSE
"NMP-S2",912340582,FALSE
"NMP16",6002173,FALSE
"NMP17",6002175,FALSE
"NMP23",6002003,FALSE
"NT100",912343825,FALSE
"NT102",912343822,FALSE
"NT103",912343823,FALSE
"NT20",912345734,FALSE
"NT24",912345741,FALSE
"NT25",912345743,FALSE
"NT26",912345745,FALSE
"NT28",912345748,FALSE
"NT29",912345750,FALSE
"NT30",912345752,FALSE
"NT31",912345754,FALSE
"NT32",912345756,FALSE
"NT33",912345758,FALSE
"NT34",912345760,FALSE
"NT35",912345762,FALSE
"NT36",912345764,FALSE
"NT37",912345766,FALSE
"NT38",912345768,FALSE
"NT39",912345770,FALSE
"NT40",912345772,FALSE
"NT41",912345774,FALSE
"NT42",912345776,FALSE
"NT43",912345778,FALSE
"NT44",912345780,FALSE
"NT45",912345782,FALSE
"NT46",912345784,FALSE
"NT48",912345787,FALSE
"NT49",912345789,FALSE
"NT50",912345791,FALSE
"NT51",912345793,FALSE
"NT52",912345795,FALSE
"NT53",912345797,FALSE
"NT54",912345799,FALSE
"NT55",912345801,FALSE
"NT56",912345803,FALSE
"NT57",912345805,FALSE
"NT58",912345807,FALSE
"NT59",912345809,FALSE
"NT60",912345811,FALSE
"NWS101",912344266,FALSE
"NWS104",912344270,FALSE
"NWS105",912344272,FALSE
"NWS106",912344274,FALSE
"NWS107",912344276,FALSE
"NWS108",912344278,FALSE
"NWS109",912344280,FALSE
