"SiteCode","S","Sprey","Spred","L","D","C","G","sG","V","sV","Cc","nCc","Bc","nBc","NODF2","weighted_NODF","Qb","norm_Qb","nb_of_modules","Qn"
"ACEH1",98,59,39,712,7.2653,0.3094,17.2564,11.9642,11.4068,9.1879,0.00460146326718111,0.446341936916568,62.0408163265306,0.0281491907107671,68.2283980466497,43.405185813402,0.418182102521671,0.622123838409041,5,0.202086861296141
"ACEH11",127,62,65,1178,9.2756,0.2923,17.1231,11.4038,17.9516,14.8373,0.00352099699736648,0.443645621668177,81.0472440944882,0.0207600522783013,66.4957435266859,34.7980497392858,0.452787302842462,0.603198867449074,4,0.206674529310953
"ACEH12",109,58,51,716,6.5688,0.2421,13.0392,10.8258,11.4655,9.9406,0.00400489223206706,0.432528361063242,72.4770642201835,0.0254305488491872,63.3653741452063,36.9830636805895,0.364889657959882,0.485061796676391,5,0.242833399287693
"ACEH15",128,63,65,1056,8.25,0.2579,15.2462,12.1861,15.7302,14.282,0.00344620558146492,0.437668108846045,83.6171875,0.0210728799143145,70.3282292372458,40.6368442636663,0.358779859796303,0.505981263358661,4,0.214439542155891
"ACEH16",126,64,62,1127,8.9444,0.284,17.1774,12.8465,16.6406,14.0547,0.00358090288084846,0.447612860106058,78.9920634920635,0.0205547914369148,71.4556112811382,37.6806087477482,0.346972319685634,0.455607518907894,7,0.223507681456501
"ACEH17",126,64,62,1142,9.0635,0.2878,17.4194,12.6005,16.875,14.3875,0.00358748921490606,0.448436151863258,78.6904761904762,0.0204763143873214,69.558524177613,37.5067336525203,0.362254214887763,0.491336910166509,5,0.216939300411523
"ACEH18",127,64,63,1146,9.0236,0.2842,17.1905,12.5066,16.9219,14.7404,0.00356936715140662,0.449740261077234,78.7952755905512,0.0201728816156045,72.3979495604516,39.1224841820422,0.335035718129119,0.468592977816351,4,0.213292135913969
"ACEH19",112,64,48,888,7.9286,0.2891,17.5,14.2202,13.125,10.4007,0.00407092174433418,0.451872313621094,69,0.0233029381965552,74.0088991242445,40.0086321322339,0.341402668360901,0.521194053230747,4,0.227740929705215
"ACEH2",116,64,52,991,8.5431,0.2978,18.0577,13.1796,14.6719,11.7852,0.00394232774139729,0.453367690260688,70.8965517241379,0.0220655311933202,70.3447148907786,38.3471480538633,0.323130142169515,0.491312541314819,4,0.21559200699541
"ACEH20",125,64,61,1083,8.664,0.2774,16.7541,12.6763,15.9688,13.4542,0.00361894513719201,0.44874919701181,77.728,0.020562962962963,69.361124043981,35.3560847204657,0.347799083850726,0.473261692937019,4,0.221538099195393
"ACEH21",149,63,86,1602,10.7517,0.2957,17.6279,12.3031,24.0635,19.3047,0.00303486368434312,0.449159825282782,92.8993288590604,0.0176279561402392,68.2912526978415,30.7474726783705,0.42555302008461,0.566349471705405,5,0.205012844522108
"ACEH22",127,64,63,1028,8.0945,0.255,15.3175,12.2182,15.0781,14.0354,0.00348989598640675,0.439726894287251,82.1181102362205,0.0210235817297031,70.0011633309077,40.9412225338129,0.366462265196567,0.513365715568295,6,0.22845821364332
"ACEH3",118,64,54,903,7.6525,0.2613,15.7222,13.2115,13.2656,11.0213,0.00378093605742326,0.442369518718521,75.4322033898305,0.0225912558819498,67.5632794944678,37.8811955673662,0.353194897716544,0.457358433481011,5,0.240925026463615
"ACEH4",114,64,50,844,7.4035,0.2638,15.88,12.1044,12.4062,11.4375,0.00393955548128002,0.445169769384642,71.9385964912281,0.0233037241630153,69.6121789314527,37.4434273499905,0.358118885820453,0.440397567071041,6,0.246101110977166
"ACEH7",110,64,46,864,7.8545,0.2935,17.7826,12.896,12.7812,11.1775,0.00415900261068668,0.453331284564848,67.2454545454545,0.0237197370530704,75.743926486025,41.7903771082259,0.314277888825887,0.42864091900234,4,0.216593635858226
"ACEH8",120,64,56,993,8.275,0.2771,16.7321,13.3301,14.6406,12.328,0.00374852025408409,0.446073910236007,75.7,0.0218470418470418,73.4922662225497,38.4561615640319,0.33726801490419,0.467015057741457,4,0.216380077200903
"AH1",114,64,50,1039,9.114,0.3247,19.78,13.4882,15.4531,12.8705,0.00409150618441166,0.462340198838518,67.3245614035088,0.021809057791872,75.0232111196336,45.7659603039399,0.298343426962924,0.421150842274046,5,0.237769151260427
"AH2",117,62,55,1074,9.1795,0.315,18.5273,11.3004,16.4355,15.0525,0.00386313845447135,0.448124060718677,73.8803418803419,0.0224287619551736,74.0645303127383,41.0464914069405,0.345979376582594,0.482793577415336,4,0.199357448902646
"AH3",94,51,43,679,7.2234,0.3096,14.7907,7.9868,12.4706,11.6092,0.00464061047257772,0.431576773949728,63.8510638297872,0.0304052684903749,63.9038123524714,36.1187820596763,0.300630525352505,0.428419576601226,6,0.198152762944504
"AH4",87,54,33,559,6.4253,0.3137,15.9394,8.4777,9.7407,8.5411,0.00491792500848767,0.42294155072994,61.1379310344828,0.0360483083929733,57.6952621087167,32.6840115869582,0.448911624164115,0.708613955866837,4,0.213719296216513
"AH5",109,62,47,781,7.1651,0.268,15.617,12.3298,11.8387,10.4681,0.00410515480025198,0.443356718427214,69.4495412844037,0.0247503710920897,71.5997578954531,41.7927685187711,0.351005245714933,0.490618498767223,5,0.241888721424913
"AL10",98,62,36,597,6.0918,0.2675,15.5833,11.1314,9.0484,8.4629,0.00449554787657605,0.436068144027877,64.4795918367347,0.0302012139750514,67.8490058556197,42.6490755917604,0.21375990197569,0.303137557764958,5,0.217786547449964
"AL4",96,62,34,623,6.4896,0.2955,17.3235,14.3415,9.5,6.8563,0.00477842361223018,0.453950243161867,58.5416666666667,0.0290818016227852,69.9027734891803,42.8333257102993,0.383985283729265,0.511102253542304,5,0.239656867125369
"AL6",106,63,43,701,6.6132,0.2588,15.3023,12.003,10.4444,9.6114,0.00407148309102361,0.427505724557479,72.7169811320755,0.0279251079616265,68.4690849569517,38.1455513627657,0.380881258925798,0.51268927926675,6,0.219637198473776
"AL7",101,63,38,632,6.2574,0.264,15.6316,13.6152,9.4286,7.0039,0.00443735214562535,0.443735214562535,64.0792079207921,0.0279333949088021,66.1254649999705,40.7855023835556,0.428347490257159,0.705011095980693,3,0.258598895804282
"BA10",114,63,51,1069,9.3772,0.3327,19.9608,12.9984,16.1587,13.1826,0.00404639236261394,0.457242336975375,69.0701754385965,0.022280701754386,74.7932466220131,47.2905086212653,0.342699045467227,0.512595858942814,4,0.217291117449755
"BA11",82,62,20,480,5.8537,0.3871,23,16,7.4194,5.562,0.00589179478319241,0.477235377438585,45.719512195122,0.0394473789431596,85.8730240995659,59.2429056357806,0.233521623171952,0.466069428747326,3,0.207221172022684
"BA2",132,64,68,1369,10.3712,0.3146,19.1324,15.3311,20.3281,15.171,0.00348557426068799,0.456610228150127,80.0606060606061,0.0189672129970637,75.5705823596388,38.8931751709056,0.334975071898943,0.476807298318945,4,0.222529704283526
"BA3",118,64,54,1034,8.7627,0.2992,18.1481,14.606,15.3125,12.2926,0.00387371620790759,0.453224796325188,72.4491525423729,0.0216978594017289,77.3816664600821,41.6120978232138,0.33850905595446,0.529694118840763,4,0.224031653477717
"BA4",110,63,47,873,7.9364,0.2948,17.5745,11.7967,13.1111,11.3281,0.00412888530042052,0.450048497745837,68.1272727272727,0.0238875430320031,67.6789192795165,40.1439437111789,0.296919559622933,0.423608288477284,4,0.232715206162902
"BA5",130,64,66,1267,9.7462,0.3,18.197,13.3177,18.7656,15.7215,0.00351766744935418,0.453779100966689,79.5,0.0194139194139194,74.780376599038,40.1449907680885,0.289888192406178,0.388014054922575,4,0.220738199710066
"BA6",120,64,56,938,7.8167,0.2617,15.75,12.8038,13.7812,12.1831,0.00372047505363542,0.442736531382615,76.6166666666667,0.0221115921115921,71.5748287819007,39.9780748410127,0.323342770116042,0.460127128755919,4,0.224016741995362
"BA7",111,63,48,921,8.2973,0.3046,18.1875,14.119,13.8571,11.4805,0.00413161642459378,0.454477806705316,67.7927927927928,0.0232645136557285,77.4449307496735,45.5955458840663,0.405711665865105,0.581401675939591,4,0.225593042647635
"BA8",87,61,26,582,6.6897,0.367,21.3846,15.0362,9.1148,7.1882,0.00554284306090876,0.476684503238153,48.5632183908046,0.0323754789272031,85.9787943805385,58.6462208957608,0.230442433507055,0.372287957334012,3,0.230979245380674
"BOCAS1",68,47,21,262,3.8529,0.2655,11.4762,6.4778,5.1277,4.2304,0.00585388538897635,0.392210321061416,53.9264705882353,0.0586157289002558,45.4020655394989,26.9060296348194,0.510426338223103,0.708723126042208,5,0.288751915428453
"BOCAS10",57,40,17,181,3.1754,0.2662,9.6471,6.4318,4.1,3.1849,0.00686994375488199,0.384716850273391,46.7368421052632,0.0748987854251012,47.6023433390824,28.0700603981172,0.442237488915017,0.628847147201564,5,0.328115704937537
"BOCAS11",46,38,8,104,2.2609,0.3421,12,9.5768,2.5263,1.8561,0.00944424283203626,0.424990927441632,32.0217391304348,0.123636058418667,59.3139995739175,41.1790428753493,0.261810945844403,0.827856523138208,4,0.33984375
"BOCAS12",69,49,20,261,3.7826,0.2663,12.05,7.2727,4.9184,3.9308,0.00574665337863737,0.390772429747341,55.2463768115942,0.0605771675565726,45.4884019881113,26.3758500325118,0.525339092436703,0.7741056954176,4,0.272636490418554
"BOCAS13",58,43,15,168,2.8966,0.2605,10.2,6.1319,3.5581,3.1495,0.00671832451781403,0.3829444975154,47.9310344827586,0.0815153647665963,45.3656144615966,25.6105187801616,0.364975400886422,0.890213575234867,2,0.31757016532103
"BOCAS2",46,35,11,105,2.2826,0.2727,8.5455,5.9894,2.6857,2.1526,0.00852873383738031,0.383793022682114,37.695652173913,0.110869565217391,46.6724653551577,27.0934347703578,0.372642899810043,0.927751102392694,3,0.363852421910367
"BOCAS3",56,42,14,140,2.5,0.2381,9,7.2004,3,2.5279,0.00695397198065333,0.382468458935933,46.2142857142857,0.0867059769498794,48.1608794450181,30.1114988536207,0.343122009207514,0.974416914918219,2,0.357961703199798
"BOCAS4",55,43,12,147,2.6727,0.2849,11.25,7.1367,3.1395,2.6239,0.00714211677513315,0.38567430585719,45.0727272727273,0.0975600157418339,48.2848227623769,30.292809901943,0.327672408234101,0.865662176818147,4,0.309794238683128
"BOCAS5",45,34,11,102,2.2667,0.2727,8.2727,5.5153,2.6765,2.1137,0.00859904855060187,0.378358136226482,37.7777777777778,0.114478114478114,43.6490160272628,27.2455088201841,0.364766919591068,0.617470527259528,5,0.383890834440285
"BOCAS6",65,44,21,212,3.2615,0.2294,9.0952,5.8814,4.3409,3.6723,0.00587332068409908,0.375892523782341,55.0769230769231,0.0640429338103757,40.5203981752806,23.661647728473,0.572035365957055,0.790259349609666,4,0.361201721444039
"BOCAS7",67,45,22,243,3.6269,0.2455,10.0455,6.1835,4.9111,4.3892,0.00577378492405858,0.381069804987866,55.955223880597,0.0605576016023777,43.2184952171583,23.9079892956898,0.371171127833972,0.890773975898241,4,0.301365655903851
"BOCAS8",59,41,18,181,3.0678,0.2453,9.0556,6.1018,3.9756,3.5248,0.00664709353301087,0.385531424914631,48.1186440677966,0.0707627118644068,47.5815974878154,26.5455762976318,0.497643497709793,0.741181775618724,4,0.338778275433776
