"site","bAut","det","fish","mInv","sInv","zooP","sum_tot","bAut_prop","det_prop","fish_prop","mInv_prop","sInv_prop","zooP_prop"
"CAR8",8.13,2.31,15.67,127.79,14.65,8.74,177.29,0.0458570703367364,0.0130294996897738,0.0883862598003271,0.720796435219132,0.0826329742230244,0.0492977607310057
"CAR9",17.89,0.13,1.91,13.52,4.53,2.37,40.35,0.443370508054523,0.00322180916976456,0.0473358116480793,0.335068153655514,0.112267657992565,0.0587360594795539
"CS1",57.38,5.99,7.24,34.91,11.67,6.34,123.53,0.464502549987857,0.0484902452845463,0.0586092447178823,0.282603416174209,0.0944709787096252,0.0513235651258803
"CS105",171.39,5.35,5.26,27.96,13.86,7.45,231.27,0.741081852380335,0.0231331344316167,0.0227439788991222,0.120897652094954,0.059929952004151,0.0322134301898214
"CS106",27.17,6.21,7.71,32.75,13.22,10.66,97.72,0.278039295947605,0.063548915268113,0.0788988948014736,0.335141219811707,0.135284486287352,0.109087187883749
"CS107",167.74,35.85,31.16,161.51,102.82,40.15,539.23,0.311073196966044,0.0664836897056914,0.0577861024052816,0.29951968547744,0.19067930196762,0.0744580234779222
"CS108",42.56,7.2,6.28,39.07,15.93,12.53,123.57,0.34442016670713,0.0582665695557174,0.0508213967791535,0.316177065630817,0.128914785142025,0.101400016185158
"CS117",26.93,5.49,4.05,16.95,6.93,8.26,68.61,0.392508380702521,0.080017490161784,0.0590292960209882,0.247048535198951,0.10100568430258,0.120390613613176
"CS118",66.91,17.21,16.01,60.95,19.51,17.14,197.73,0.338390734840439,0.0870378799372882,0.0809689981287614,0.308248621858089,0.0986699034036312,0.0866838618317908
"CS119",40.31,15.39,4.06,21.94,9.22,5.77,96.69,0.416899369117799,0.15916847657462,0.0419898645154618,0.226910745682077,0.0953562933085118,0.0596752508015307
"CS121",47.93,9.43,2.39,21.94,6.71,4.95,93.35,0.513444027852169,0.101017675415104,0.0256025709694697,0.235029459025174,0.0718800214247456,0.0530262453133369
"CS128",87.42,16.38,9.02,65.89,17.97,12.79,209.47,0.417338998424595,0.0781973552298658,0.0430610588628443,0.314555783644436,0.0857879409939371,0.0610588628443214
"CS133",51.81,4.69,18.56,56.73,28.66,15.82,176.27,0.293924093719862,0.0266069098542009,0.105293016395303,0.321835820048789,0.162591478981109,0.0897486810007375
"CS134",75.56,10.67,2.52,27.36,14.78,5.15,136.04,0.555424875036754,0.0784328138782711,0.0185239635401353,0.201117318435754,0.10864451631873,0.0378565127903558
"CS135",115.71,18.21,12.72,67.38,29.79,17.52,261.33,0.442773504764091,0.0696820112501435,0.0486740902307427,0.257834921363793,0.113993800941339,0.0670416714498909
"CS136",81.75,17.48,19.38,176.75,29.3,36.17,360.83,0.226560984397084,0.0484438655322451,0.0537095030900978,0.489842862289721,0.0812016739184658,0.100241110772386
"CS137",78.01,11.98,8.78,35.92,18.52,8.13,161.34,0.483513077971985,0.0742531300359489,0.0544192388744267,0.222635428288087,0.11478864509731,0.0503904797322425
"CS138",58,11.1,9.1,44.3,11.24,5.4,139.14,0.416846341814,0.0797757654161276,0.065401753629438,0.318384361075176,0.0807819462411959,0.0388098318240621
"CS14",37.18,6.59,5.06,33.59,10.05,7.88,100.35,0.370503238664674,0.0656701544593921,0.0504235176880917,0.334728450423518,0.100149476831091,0.0785251619332337
"CS142",43.12,7.48,4.16,39.82,12.85,10.88,118.31,0.364466232778294,0.0632237342574592,0.0351618629025442,0.33657340884118,0.108612965936945,0.091961795283577
"CS151",78.41,19.54,11.62,64.72,21.17,12.8,208.26,0.376500528185921,0.0938250264092961,0.055795640065303,0.310765389417075,0.101651781427062,0.0614616344953424
"CS159",28.2,9.39,2.28,10.9,8.31,10.56,69.64,0.404939689833429,0.13483630097645,0.0327398047099368,0.156519241815049,0.119327972429638,0.151636990235497
"CS174",4.22,0.99,1.03,6.99,2.63,2.08,17.94,0.235228539576366,0.0551839464882943,0.0574136008918618,0.389632107023411,0.14659977703456,0.115942028985507
"CS178",36.35,8.26,3.71,26.36,11.22,6.13,92.03,0.394979897859394,0.0897533413017494,0.0403129414321417,0.286428338585244,0.121916766271868,0.0666087145496034
"CS18",35.02,6.42,1.2,20.71,7.84,7.67,78.86,0.444078113111844,0.0814100938371798,0.0152168399695663,0.262617296474765,0.0994166878011666,0.0972609688054781
"CS188",29.22,9.12,6.38,33.01,16.07,7.5,101.3,0.288450148075025,0.0900296150049358,0.0629812438302073,0.325863770977295,0.158637709772952,0.0740375123395854
"CS189",61.25,15.99,3.5,41.24,26.48,10.75,159.21,0.384712015576911,0.100433389862446,0.0219835437472521,0.259028955467621,0.16632121097921,0.0675208843665599
"CS192",31.07,9.45,6.59,40.4,15.47,8.22,111.2,0.279406474820144,0.0849820143884892,0.0592625899280576,0.363309352517986,0.139118705035971,0.0739208633093525
"CS194",21.39,6.43,4.36,20.42,8.06,5.69,66.35,0.322381311228335,0.0969103240391861,0.0657121326299925,0.307761868877167,0.12147701582517,0.0857573474001507
"CS195",187.05,70.85,48.11,203.41,70.28,34.36,614.06,0.30461192717324,0.115379604598899,0.0783473927629222,0.331254274826564,0.114451356544963,0.0559554440934111
"CS196",39.13,6.99,2.28,24.37,14.18,6.58,93.53,0.418368437934353,0.0747353790227734,0.0243772051748102,0.260558109697423,0.151609109376671,0.0703517587939698
"CS2",45.01,7.67,3.91,16.08,10.6,4.73,88,0.511477272727273,0.0871590909090909,0.0444318181818182,0.182727272727273,0.120454545454545,0.05375
"CS201",17.81,3.67,4.58,28.93,14.04,5.53,74.56,0.238868025751073,0.0492221030042918,0.0614270386266094,0.38800965665236,0.188304721030043,0.0741684549356223
"CS212",232.33,18.36,15.59,123.22,53.24,57.87,500.61,0.46409380555722,0.0366752561874513,0.0311420067517628,0.246139709554344,0.106350252691716,0.115598969257506
"CS40",10.33,1.37,1.9,12.01,5.27,2.98,33.86,0.30507974010632,0.0404607206142942,0.0561134081512109,0.354695806261075,0.155640874187832,0.0880094506792676
"CS43",9.81,2.12,1.82,9.52,5.17,2.38,30.82,0.31829980532122,0.0687865022712524,0.0590525632706035,0.308890330953926,0.167748215444517,0.0772225827384815
"CS5",41.38,10.24,2.53,20.92,8.82,2.76,86.65,0.477553375649163,0.118176572417773,0.029197922677438,0.241431044431621,0.101788805539527,0.0318522792844778
"CS56",22.88,3.15,3.65,18.13,9.6,5.62,63.03,0.363001745200698,0.0499762018086625,0.057908932254482,0.287640805965413,0.152308424559733,0.0891638902110106
"CS62",40.55,11.16,18.22,111.57,19.38,16.31,217.19,0.186702886873245,0.0513835811961877,0.0838896818453888,0.513697684055435,0.0892306275611216,0.0750955384686219
"CS67",38.97,5.6,6.76,28.26,13.13,6.8,99.52,0.391579581993569,0.0562700964630225,0.0679260450160772,0.283963022508039,0.131933279742765,0.0683279742765273
"CS70",37.68,6.35,27.25,53.79,22.93,9.17,157.17,0.2397404084749,0.0404021123624101,0.173379143602469,0.342240885665203,0.14589298212127,0.0583444677737482
"CS72",25.99,4.04,2.68,22.03,10.74,4.36,69.84,0.372136311569301,0.0578465063001145,0.0383734249713631,0.315435280641466,0.153780068728522,0.0624284077892325
"CS75",95.32,21.09,16.81,75.73,26.79,10.68,246.42,0.386819251684117,0.0855855855855856,0.0682168655141628,0.307320834347861,0.108716824933041,0.0433406379352325
"CS76",60.07,8.8,23.36,57.78,16.55,13.06,179.62,0.334428237390046,0.0489923171139071,0.130052332702372,0.321679100322904,0.0921389600267231,0.0727090524440485
"CS78",29.82,5.98,7.54,22.76,8.62,5.82,80.54,0.370250807052396,0.0742488204618823,0.0936180779736777,0.28259250062081,0.107027563943382,0.072262229947852
"CS79",124.1,9.19,30.72,56.72,29.68,7.32,257.73,0.481511659488612,0.0356574709967796,0.119194505878245,0.220075272572072,0.115159275210492,0.0284018158538005
"CS80",58.78,7.45,8.37,36.96,18.06,9.49,139.11,0.42254331104881,0.0535547408525627,0.0601682122061678,0.265689023075264,0.129825318093595,0.0682193947236
"CS81",94.98,20.23,7.24,43.53,18.42,7.64,192.04,0.494584461570506,0.105342636950635,0.0377004790668611,0.226671526765257,0.09591751718392,0.0397833784628202
"CS86",124.44,24.98,4.69,74.53,28.44,29.65,286.73,0.433997140166707,0.0871202873783699,0.0163568513932968,0.259930945488787,0.0991873888326997,0.103407386740139
"CS88",31.51,6.02,5.45,29.49,19.71,5.51,97.69,0.322550926399836,0.0616235029173917,0.0557887194185689,0.30187327259699,0.201760671511926,0.0564029071552871
"CS89",62.17,18.1,2.12,16.81,9.19,5.78,114.17,0.544538845581151,0.158535517211176,0.0185688009109223,0.147236577034247,0.0804940001751774,0.0506262590873259
"CS9",52.24,11.19,1.39,21.14,10.3,6.49,102.75,0.508418491484185,0.108905109489051,0.0135279805352798,0.205742092457421,0.100243309002433,0.0631630170316302
"CS93",77.58,10.52,18.24,81.24,26.3,14.41,228.29,0.33983091681633,0.046081738140085,0.0798983748740637,0.355863156511455,0.115204345350212,0.063121468307854
"CS97",82.29,8.34,18.67,45.21,13.14,11.58,179.23,0.459130725882944,0.0465323885510238,0.104167829046477,0.25224571779278,0.073313619371757,0.0646097193550187
"CS99",38.16,5.44,7.86,32.61,13.57,7.15,104.79,0.364156885198969,0.0519133505105449,0.0750071571714858,0.311193816203836,0.129497089416929,0.0682317014982346
"ETP1",36.68,8.71,12.98,55.54,32.82,10.36,157.09,0.233496721624546,0.0554459227194602,0.0826277929849131,0.35355528677828,0.208924820166783,0.0659494557260169
"ETP100",138.1,37.21,134.21,525.71,116.87,49.21,1001.31,0.137919325683355,0.037161318672539,0.134034414916459,0.525022220890633,0.116717100598216,0.0491456192387972
"ETP101",79.21,26.49,16.71,63.19,38.19,12.5,236.29,0.335223665834356,0.11210800287782,0.070718185280799,0.267425621058868,0.161623428837446,0.0529010961107114
"ETP102",65.08,8.32,49.9,92.96,47.42,32.8,296.48,0.219508904479223,0.0280626011872639,0.168308148947652,0.313545601726929,0.159943335132218,0.110631408526713
"ETP103",98.05,23.34,65.77,130.26,53.15,19.66,390.23,0.251262076211465,0.0598108807626272,0.168541629295544,0.333803141736924,0.136201727186531,0.0503805448069088
"ETP104",79.44,2.65,45.33,101.46,30.46,44.99,304.33,0.261032431899583,0.00870765287681136,0.148950152794664,0.333388098445766,0.100088719482141,0.147832944501035
"ETP105",55.53,13.44,20.53,40.86,15.92,10.35,156.63,0.354529783566367,0.0858073166060142,0.131073229904871,0.260869565217391,0.101640809551172,0.066079295154185
"ETP106",15.07,2.43,7.09,20.41,6.33,8.09,59.42,0.253618310333221,0.0408953214405924,0.119320094244362,0.343487041400202,0.106529787950185,0.136149444631437
"ETP122",103.88,21.59,12.78,49.85,23.55,16.13,227.78,0.456054087277197,0.0947844411274036,0.0561067696900518,0.218851523399772,0.103389235226973,0.0708139432786022
"ETP138",49.19,17.49,54.34,41.18,22.95,6.5,191.65,0.256665797025828,0.0912601095747456,0.283537698930342,0.214870858335507,0.11974954343856,0.033915992695017
"ETP139",57.36,4.18,169.46,103.29,71.42,21.96,427.67,0.134122103491009,0.0097738910842472,0.396240091659457,0.241517992844951,0.166997918956205,0.0513480019641312
"ETP14",188.44,18.61,257.95,61.74,52.6,40.99,620.33,0.303773797817291,0.0300001612045202,0.415827059790757,0.099527670755888,0.0847935776119162,0.0660777328196283
"ETP140",13.6,2.5,14.09,17.23,9.72,4.14,61.28,0.221932114882507,0.0407963446475196,0.22992819843342,0.281168407310705,0.158616187989556,0.0675587467362924
"ETP141",53.96,9.68,290.09,261.34,62.54,21.98,699.59,0.0771308909504138,0.0138366757672351,0.414657156334424,0.373561657542275,0.0893952171986449,0.031418402207007
"ETP142",6.88,1,7.56,21.71,6.55,3.27,46.97,0.146476474345327,0.0212901852246115,0.160953800298063,0.462209921226315,0.139450713221205,0.0696189056844795
"ETP143",149.63,37.48,88.19,210.23,153.59,36.16,675.28,0.221582158512025,0.0555029024997038,0.130597678000237,0.311322710579315,0.227446392607511,0.0535481578012084
"ETP145",139.95,18.02,429.98,234.81,104.87,28.38,956.01,0.146389682116296,0.0188491752178324,0.449765169820399,0.245614585621489,0.109695505277141,0.0296858819468416
"ETP148",23.91,3.49,12.76,34.88,23.62,9.01,107.67,0.222067428252995,0.0324138571561252,0.11851026284016,0.32395281879818,0.219374013188446,0.083681619764094
"ETP149",45.15,5.07,18.25,44.49,44.91,11.4,169.27,0.266733620842441,0.0299521474567259,0.10781591540143,0.262834524723814,0.265315767708395,0.0673480238671944
"ETP15",139.51,34.51,470.86,379.71,22.57,101.78,1148.94,0.121424965620485,0.0300363813602103,0.409821226521838,0.330487231709228,0.0196441937786133,0.0885860010096263
"ETP150",12.65,1.79,308,38.09,14.38,3.98,378.89,0.033386998865106,0.00472432632162369,0.812900841933015,0.100530496978015,0.0379529678798596,0.0105043680223812
"ETP151",18.21,4.27,14.98,38.62,14.7,4.77,95.55,0.190580847723705,0.0446886446886447,0.156776556776557,0.404186289900576,0.153846153846154,0.0499215070643642
"ETP153",145.07,64.61,47.2,75.87,19.37,8.16,360.28,0.402659042966582,0.179332741201288,0.131009215054957,0.210586210724992,0.053763739313867,0.0226490507383146
"ETP154",97.42,40.99,119.87,140.87,37.75,20.09,456.99,0.213177531237007,0.089695616971925,0.262303332676864,0.308256198166262,0.0826057462964179,0.0439615746515241
"ETP155",439.33,106.84,150.55,597.19,415.44,104.91,1814.26,0.242153825802255,0.0588890236239569,0.0829814910762515,0.329164507843418,0.228985922635124,0.057825229018994
"ETP158",55.82,14.15,5.05,31.73,23.8,5.96,136.51,0.408907772324372,0.103655409860084,0.0369936268405245,0.232437184089078,0.174346201743462,0.0436598051424804
"ETP159",113.18,25.24,25.33,119.87,89.75,23.6,396.97,0.285109706023125,0.0635816308537169,0.0638083482379021,0.301962364914225,0.226087613673577,0.0594503362974532
