"family","genus","species","size","temperature","Ic_median","In_median","Ip_median"
"Pomacentridae","Abudefduf","Abudefduf_bengalensis",12,30,0.271614627679592,0.047895224901696,0.0062805638525847
"Pomacentridae","Abudefduf","Abudefduf_bengalensis",15,21,0.462606347785118,0.0843260023811996,0.0107431023472346
"Pomacentridae","Abudefduf","Abudefduf_bengalensis",15,22,0.405743348924469,0.073356195356896,0.00902058260873294
"Pomacentridae","Abudefduf","Abudefduf_bengalensis",15,24,0.410293882700201,0.0750309753757883,0.00967280538411926
"Pomacentridae","Abudefduf","Abudefduf_bengalensis",15,25,0.41901706790061,0.0762506074560039,0.00926395209382962
"Pomacentridae","Abudefduf","Abudefduf_bengalensis",15,26,0.434392302605193,0.0758162993181241,0.00963019436764704
"Pomacentridae","Abudefduf","Abudefduf_bengalensis",15,27,0.439203217109953,0.0801982819388489,0.0101974103795216
"Pomacentridae","Abudefduf","Abudefduf_bengalensis",15,28,0.435545443293407,0.0776559596445074,0.00975602102640287
"Pomacentridae","Abudefduf","Abudefduf_bengalensis",15,29,0.461920257932283,0.0818188796483638,0.0103023067069172
"Pomacentridae","Abudefduf","Abudefduf_bengalensis",15,30,0.435854247229859,0.0785340927830591,0.00944606227375893
"Pomacentridae","Abudefduf","Abudefduf_concolor",10,28,0.243874876190684,0.0344770128376424,0.00488672284776499
"Pomacentridae","Abudefduf","Abudefduf_concolor",12,27,0.343332347550084,0.0494644473279657,0.00690001281379478
"Pomacentridae","Abudefduf","Abudefduf_concolor",12,28,0.331174500000648,0.0458094676142193,0.00638216619908678
"Pomacentridae","Abudefduf","Abudefduf_concolor",15,27,0.591945958742807,0.0804477533171991,0.0114129172648323
"Pomacentridae","Abudefduf","Abudefduf_concolor",15,28,0.539660776489058,0.0740397070049746,0.010975530132837
"Pomacentridae","Abudefduf","Abudefduf_conformis",8,27,0.0581686221006996,0.00966594688342579,0.00123139176400475
"Pomacentridae","Abudefduf","Abudefduf_conformis",8,28,0.0561995657935474,0.00964899282749629,0.00119811481256764
"Pomacentridae","Abudefduf","Abudefduf_conformis",10,27,0.10193643376635,0.017680947595822,0.00222712086236072
"Pomacentridae","Abudefduf","Abudefduf_conformis",10,28,0.101392626620451,0.01728268518507,0.00219112806883017
"Pomacentridae","Abudefduf","Abudefduf_conformis",12,27,0.169203842776698,0.0285547988777033,0.00366379864778092
"Pomacentridae","Abudefduf","Abudefduf_conformis",12,28,0.162097317502741,0.0273393808743885,0.0035587264824824
"Pomacentridae","Abudefduf","Similiparma_lurida",2,21,0.00788639865408952,0.00106013022105942,0.00015018773242203
"Pomacentridae","Abudefduf","Similiparma_lurida",2,22,0.00780464629022783,0.00106844438797456,0.00015021016807043
